bad_reward,depth,update_rule,event_round,prior_good_traversals,paired_seeds,true_safe_value,true_risky_value,final_lock_probability,final_lock_ci_low,final_lock_ci_high,ever_demoted_probability,ever_demoted_ci_low,ever_demoted_ci_high,mean_first_demotion_delay,mean_post_event_risky_visits,mean_final_start_value,exact_full_return_lock_probability,mc_minus_exact_if_depth_one
-5.0,1,sample_average,60,60,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,128.87995,0.9683929241110922,0.0,0.0
-5.0,1,constant_alpha,60,60,20000,0.9,1.0,0.6864,0.6799347402512647,0.6927936687070196,1.0,0.9998079639438954,0.9999999999999999,0.0,24.45295,0.8628339601774729,0.6915279345588825,-0.0051279345588824965
-5.0,1,sample_average,64,64,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,125.4729,0.9684917607904208,0.0,0.0
-5.0,1,constant_alpha,64,64,20000,0.9,1.0,0.75705,0.7510573446568509,0.7629439296067058,1.0,0.9998079639438954,0.9999999999999999,0.0,19.94085,0.8387535041758125,0.7556936242279194,0.001356375772080587
-5.0,1,sample_average,68,68,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,122.0095,0.9685809057008744,0.0,0.0
-5.0,1,constant_alpha,68,68,20000,0.9,1.0,0.811,0.8055145361453223,0.8163660174277806,1.0,0.9998079639438954,0.9999999999999999,0.0,16.5312,0.8165702686885531,0.8123734762373273,-0.001373476237327198
-5.0,1,sample_average,72,72,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,118.5323,0.968666980837907,0.0,0.0
-5.0,1,constant_alpha,72,72,20000,0.9,1.0,0.8581,0.8531951299163928,0.862867333860225,1.0,0.9998079639438954,0.9999999999999999,0.0,13.8118,0.7916804083189712,0.860549302026026,-0.0024493020260260012
-5.0,1,sample_average,76,76,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,114.99975,0.9687437514596647,0.0,0.0
-5.0,1,constant_alpha,76,76,20000,0.9,1.0,0.89705,0.8927617937872699,0.9011857103805775,1.0,0.9998079639438954,0.9999999999999999,0.0,11.5787,0.7677996594492789,0.8999024967859279,-0.002852496785927916
-5.0,1,sample_average,80,80,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,111.53925,0.9688317195632701,0.0,0.0
-5.0,1,constant_alpha,80,80,20000,0.9,1.0,0.93165,0.9280691944850046,0.9350650207877602,1.0,0.9998079639438954,0.9999999999999999,0.0,9.732,0.7378966423368284,0.9307558465954014,0.00089415340459853
-5.0,1,sample_average,84,84,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,107.99395,0.9689054917358592,0.0,0.0
-5.0,1,constant_alpha,84,84,20000,0.9,1.0,0.95295,0.9499274165227423,0.9557986180140325,1.0,0.9998079639438954,0.9999999999999999,0.0,8.44945,0.7106085677020018,0.9539380866930488,-0.0009880866930488397
-5.0,1,sample_average,88,88,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,104.4612,0.9689810050729603,0.0,0.0
-5.0,1,constant_alpha,88,88,20000,0.9,1.0,0.972,0.9696214190572253,0.9741972989058117,1.0,0.9998079639438954,0.9999999999999999,0.0,7.3716,0.680669243627101,0.9706039589392789,0.0013960410607211093
-5.0,1,sample_average,92,92,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,100.89015,0.9690500053137318,0.0,0.0
-5.0,1,constant_alpha,92,92,20000,0.9,1.0,0.9826,0.9806929707621039,0.9843216760365439,1.0,0.9998079639438954,0.9999999999999999,0.0,6.58035,0.6510829779943956,0.9820466612465875,0.0005533387534125689
-5.0,1,sample_average,96,96,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,97.3469,0.9691230112301759,0.0,0.0
-5.0,1,constant_alpha,96,96,20000,0.9,1.0,0.9877,0.9860760624078233,0.9891366256230523,1.0,0.9998079639438954,0.9999999999999999,0.0,5.94965,0.6162229572539307,0.989534783643787,-0.0018347836437869747
-5.0,1,sample_average,100,100,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,93.7377,0.9691853748386835,0.0,0.0
-5.0,1,constant_alpha,100,100,20000,0.9,1.0,0.99465,0.9935396672703248,0.9955703514593709,1.0,0.9998079639438954,0.9999999999999999,0.0,5.3945,0.5850409089468652,0.9941946151558629,0.0004553848441370967
-5.0,1,sample_average,104,104,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,90.17635,0.9692548851956304,0.0,0.0
-5.0,1,constant_alpha,104,104,20000,0.9,1.0,0.99695,0.9960844826976206,0.997624652666217,1.0,0.9998079639438954,0.9999999999999999,0.0,4.89355,0.5456061670718908,0.9969450776065167,4.922393483264287e-06
-5.0,1,sample_average,108,108,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,86.53165,0.969311003068591,0.0,0.0
-5.0,1,constant_alpha,108,108,20000,0.9,1.0,0.9981,0.9973933437444168,0.9986153499364917,1.0,0.9998079639438954,0.9999999999999999,0.0,4.50175,0.5112693144587148,0.9984804724863652,-0.00038047248636519093
-5.0,1,sample_average,112,112,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,82.9197,0.9693721158567064,0.0,0.0
